Medical_Term,Frequency
radial,315
device,314
number,314
six,314
flexion,314
peritoneum,314
material,313
incisions,313
extension,312
dilated,312
fusion,311
flushed,311
catheterization,311
episodes,310
trachea,309
medially,309
straight,309
check,308
short,307
epidural,306
tongue,306
cannula,305
diffuse,305
think,305
node,304
near,303
cystic,303
away,303
perform,303
ring,303
smoking,302
extending,302
none,302
issues,302
pneumonia,301
plain,301
apparent,301
intravenous,301
capsular,300
improvement,300
suctioned,300
introduced,300
alternatives,299
delivered,299
forceps,298
daughter,298
recommendations,298
sites,298
either,297
scar,297
occasional,296
lymphadenopathy,296
aspiration,295
hematoma,295
axillary,295
rule,295
osteotomy,294
healthy,294
toe,293
wife,293
duct,293
routine,292
children,292
clubbing,292
health,292
completion,292
transected,290
grade,290
iliac,290
tubes,290
bun,290
call,290
center,290
fluids,289
mental,289
married,287
tract,287
junction,287
hematocrit,286
septum,286
extensive,286
exposed,284
stroke,284
diameter,283
arteries,283
component,283
wrist,282
edges,282
chromic,282
presentation,282
said,282
saturation,281
least,281
subjective,281
actually,281
difficult,281
immediately,280
csf,280
trial,280
workup,280
cartilage,280
radiation,280
needs,279
instructed,278
headache,277
clamped,277
breathing,276
feel,276
axis,276
involving,276
movement,276
cbc,275
drill,275
part,275
calcium,275
pedicle,275
allowed,275
protein,274
myocardial,274
memory,274
measuring,274
atraumatic,274
disorder,274
information,274
levels,273
towards,273
cells,273
seems,273
amounts,273
husband,273
betadine,273
floor,272
inferiorly,272
posteriorly,272
obstructive,272
sign,272
superiorly,272
biopsies,271
reflected,271
frontal,271
lid,271
response,271
tone,270
longus,270
lens,270
height,270
tobacco,270
activities,270
coumadin,270
scheduled,269
staples,269
culture,269
state,269
ejection,269
episode,268
feels,268
drains,268
echocardiogram,268
sutured,268
section,267
lead,267
cyst,267
feeling,266
mentioned,266
benign,265
details,265
ears,264
allow,264
exposure,264
woman,264
knife,264
flexor,264
half,263
oblique,263
extensor,263
imaging,262
resolved,262
inspection,262
intervention,261
specimens,261
inflated,261
provided,261
foreign,261
continuous,261
colonoscopy,260
examined,260
withdrawn,260
moist,260
fetal,260
great,259
warm,258
view,258
sodium,257
finger,257
tooth,257
cultures,256
continues,256
checked,256
dura,256
avoid,256
required,255
overall,255
versus,254
tied,254
approximated,254
arthritis,254
gave,253
ureteral,253
shunt,253
fevers,253
fluoroscopy,252
contact,252
infiltrated,252
mildly,252
stool,251
mitral,251
separate,251
onset,250
release,249
period,249
school,249
appropriately,249
sharply,248
thoracic,248
included,248
caucasian,248
awakened,248
awake,247
worsening,247
gastric,247
prescription,246
monitoring,246
overlying,246
gastrointestinal,246
rash,246
decided,245
longitudinal,245
vitamin,245
infant,245
anemia,245
simple,245
reflux,244
plane,244
slight,243
takes,243
measures,243
sure,243
obtain,243
airway,242
anxiety,242
fluoroscopic,241
speculum,241
hour,241
early,241
seizure,241
allergic,241
fall,241
fraction,240
measured,240
opening,240
fact,240
murmurs,240
fairly,240
metzenbaum,239
pacemaker,239
food,239
margin,238
symmetric,237
views,237
penis,237
possibility,237
getting,237
xylocaine,237
chart,237
legs,236
increasing,236
elbow,236
undergo,235
extraocular,235
reduced,235
rectum,235
advised,235
took,235
mood,235
held,235
whether,234
result,234
insulin,234
many,234
notes,234
instrument,233
evaluate,233
appendix,233
became,233
lad,232
peritoneal,232
major,232
stay,232
comes,231
discussion,231
flat,230
proceeded,230
progressive,230
rotator,229
disposition,229
volume,229
rashes,228
thigh,228
veins,228
nature,227
noticed,227
phalanx,226
possibly,226
intermittent,226
service,225
working,225
pole,225
angle,224
cataract,224
surrounding,224
joints,224
monitored,223
palate,223
marginal,223
inches,221
septal,221
tylenol,221
understood,221
walk,221
foramen,221
angiogram,221
abuse,220
dressings,220
nondistended,220
even,219
walking,219
appointment,219
replacement,219
answered,219
ascending,218
support,217
hemorrhage,217
access,217
fatigue,217
modified,217
persistent,217
versed,217
decrease,217
patella,216
intubated,216
attached,216
options,216
nursing,216
abscess,215
adenopathy,215
give,215
dental,215
discectomy,215
subclavian,214
wounds,214
significantly,214
affect,214
palpated,214
edge,214
especially,213
bag,213
according,213
trauma,213
exercise,212
accident,212
separated,212
man,212
available,212
arterial,212
implant,212
sitting,211
retractor,211
agreed,210
sagittal,210
packed,210
pattern,209
clamps,209
narrowing,209
curved,209
ligaments,209
branches,209
chemotherapy,209
yesterday,209
microscope,208
appreciated,208
metastatic,208
signal,207
lab,207
says,207
ureter,207
lot,207
really,207
remainder,207
cerebral,207
pressures,206
transported,206
smoke,206
future,206
brief,206
seizures,206
clean,205
cutting,205
pack,204
maintained,204
recommend,204
tests,204
improve,203
rotation,203
linear,203
start,203
thin,203
herniated,203
got,202
sclerae,202
brother,202
bluntly,201
groin,201
stopped,201
facet,201
connected,201
pulled,200
appearing,200
stone,200
degree,200
wedge,200
objective,199
afebrile,199
slowly,199
prominent,198
excess,198
sides,198
never,198
umbilicus,197
potential,197
alignment,197
mcg,197
retrograde,197
wheezing,196
laceration,196
eating,196
interval,196
location,195
proper,195
forearm,195
attempt,195
urethra,195
mellitus,195
consult,195
living,195
angiography,195
congestion,194
indicated,194
essentially,194
painful,194
inr,194
ordered,194
border,194
touch,194
apex,194
combination,193
demonstrates,193
genitourinary,193
atrium,193
pink,193
diagonal,193
esophageal,193
sigmoid,193
heparin,192
posterolateral,192
gland,192
occurred,192
dressed,192
protocol,191
double,191
complaining,191
starting,190
though,190
puncture,190
tympanic,190
median,190
toes,189
thoroughly,189
cleared,189
platelet,189
attempted,188
nucleus,188
lumen,188
person,188
scalp,188
hematuria,188
mucosal,188
asthma,186
couple,186
summary,186
emg,186
dyspnea,186
spontaneous,186
french,185
horizontal,185
sterilely,184
digital,184
appetite,184
reveal,184
functional,184
congestive,184
biceps,184
consisting,184
decision,184
try,184
cleaned,184
vagina,184
set,183
apnea,183
color,183
umbilical,182
involved,182
identify,182
cement,182
inflammation,182
polyp,181
cause,181
careful,181
instrumentation,180
complains,180
bruits,180
induced,180
pericardial,180
removing,180
form,180
fascial,179
approach,179
outside,179
best,179
plus,179
jugular,178
adjacent,178
sister,178
stimulation,178
cecum,178
changed,178
ports,177
provide,177
unknown,177
locking,177
chloride,177
meds,177
illicit,177
filled,177
fossa,177
fully,176
endoscopy,176
margins,176
femur,176
pocket,176
induction,176
necessary,176
vehicle,176
requiring,176
pds,175
deficits,175
pending,175
intubation,175
moved,175
holding,175
adrenal,175
worked,175
occasionally,174
tension,174
thickening,174
retractors,174
showing,173
neuropathy,173
knees,173
frequency,173
regurgitation,173
anesthetized,173
called,173
monitor,173
ovary,173
polyps,172
verified,172
rongeur,172
finally,172
interspace,172
pacu,172
prepared,172
consider,172
failed,172
lost,172
cooperative,171
located,171
plaque,171
debridement,171
probe,171
spleen,171
already,171
keep,171
orbital,171
bronchoscope,171
intraocular,171
rubs,170
reaction,170
symmetrical,170
cognitive,170
lasix,170
drink,170
hard,170
hospitalization,170
encountered,170
prednisone,170
urinalysis,170
hole,169
incontinence,169
tablet,169
prone,169
basis,169
hemostat,169
elevation,169
drops,169
prolonged,169
mucous,169
infarction,169
hysterectomy,169
neural,168
cauterized,168
experienced,168
swallowing,168
elected,168
hands,168
immediate,168
patellar,168
vena,168
auditory,168
permanent,167
frequent,167
maximum,167
conservative,167
conjunctivae,167
cold,167
fourth,167
established,167
bandage,167
hemostatic,167
dysuria,166
